subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
240e:3a1:8c34::/48,247,688290.4056450687,3674.0,4.0,3674.0,688290.4056450687,3031.7,23.9,298.7813765182186,47681.075777409525,1853.0599999999413,0.0,18.2499999999999,0.4339999999999989,37.06060606060606,44,2280301.6797520663,3664.0,3.0,3664.0,2280301.6797520663,3108.05,27.45,1428.0454545454545,28250.46969141917,1209.5899999999992,0.0,100.93899999999964,0.47199999999993447,36.997070707070705,0.0,1.0,0.8218623481781376,0.0,0.0,0.0,0.0,1.0
2a01:cb04:d4b::/48,194,15393.748352641072,556.0,2.0,556.0,15393.748352641074,483.54999999999995,45.0,115.41752577319588,145.95960540761192,79.12000000000015,0.0,37.42300000000039,0.1940000000000019,5.52080808080808,194,15393.748352641072,556.0,2.0,556.0,15393.748352641074,483.54999999999995,45.0,115.41752577319588,145.95960540761192,79.12000000000015,0.0,37.42300000000039,0.1940000000000019,5.52080808080808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a02:1210:6011::/48,267,145128.85337148776,3046.0,1.0,3046.0,145128.85337148776,510.7,26.0,144.10861423220973,61722.46499614325,2486.68,0.0,42.36400000000025,0.17400000000000587,30.737575757575758,239,160827.63813658722,3046.0,1.0,3046.0,160827.63813658722,519.5,28.699999999999996,155.46861924686192,61681.105826099374,2486.28,0.0,36.38799999999997,0.37999999999999545,30.719595959595956,0.0,0.9707112970711297,0.13108614232209737,0.0,0.0,0.0,0.0,1.0
2a02:1210:4cfb::/48,104,101378.00730399408,3022.0,4.0,3022.0,101378.00730399408,517.3499999999999,22.0,136.04807692307693,61043.04203893482,2471.3,0.0,24.22599999999984,0.1980000000000011,30.484545454545458,98,106962.73094543938,3022.0,4.0,3022.0,106962.73094543938,519.15,22.0,141.9387755102041,57440.396983470935,2396.869999999997,0.0,41.83999999999959,0.23299999999999904,30.486060606060605,0.0,0.9897959183673469,0.0673076923076923,0.0,0.0,0.0,0.0,1.0
2a01:cb14:850f::/48,192,23498.476453993066,604.0,13.0,604.0,23498.476453993066,539.45,61.0,148.38541666666666,269.06319310274546,138.52000000000032,0.0,24.397999999999698,0.5579999999999955,5.8226262626262635,192,23498.476453993066,604.0,13.0,604.0,23498.476453993066,539.45,61.0,148.38541666666666,269.06319310274546,138.52000000000032,0.0,24.397999999999698,0.5579999999999955,5.8226262626262635,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb08:8d81::/48,140,19302.418367346912,610.0,2.0,610.0,19302.418367346912,520.15,47.849999999999994,124.28571428571429,172.81312104887294,68.24000000000052,0.0,37.996999999999915,0.3709999999999972,6.12959595959596,140,19302.418367346912,610.0,2.0,610.0,19302.418367346912,520.15,47.849999999999994,124.28571428571429,172.81312104887294,68.24000000000052,0.0,37.996999999999915,0.3709999999999972,6.12959595959596,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb15:d4::/48,204,20907.406478277586,565.0,7.0,565.0,20907.406478277575,501.25,54.45,141.48039215686273,163.18266631976303,99.83999999999946,0.0,21.259999999999508,0.2299999999999997,5.592323232323233,204,20907.406478277586,565.0,7.0,565.0,20907.406478277575,501.25,54.45,141.48039215686273,163.18266631976303,99.83999999999946,0.0,21.259999999999508,0.2299999999999997,5.592323232323233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb1d:1e8::/48,157,17613.938658769126,539.0,3.0,539.0,17613.938658769133,493.59999999999997,29.0,108.89808917197452,193.05759265381064,107.08000000000001,0.0,33.62000000000003,0.5600000000000023,5.408484848484849,157,17613.938658769126,539.0,3.0,539.0,17613.938658769133,493.59999999999997,29.0,108.89808917197452,193.05759265381064,107.08000000000001,0.0,33.62000000000003,0.5600000000000023,5.408484848484849,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb1c:f5b::/48,169,19289.183291901536,546.0,1.0,546.0,19289.183291901532,502.0,40.2,122.01183431952663,195.76923856749298,108.0,0.0,23.639999999999684,0.4319999999999978,5.4775757575757575,169,19289.183291901536,546.0,1.0,546.0,19289.183291901532,502.0,40.2,122.01183431952663,195.76923856749298,108.0,0.0,23.639999999999684,0.4319999999999978,5.4775757575757575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a02:1210:32e8::/48,104,255690.36381286985,3019.0,3.0,3019.0,255690.36381286985,537.9999999999999,24.9,174.35576923076923,53487.793434975785,2308.5999999999945,0.0,57.11499999999976,0.14900000000000158,30.464646464646464,82,318051.9708506841,3016.0,0.0,3016.0,318051.9708506841,543.7,27.0,207.17073170731706,30550.5701339658,1401.7499999999834,0.0,39.70100000000029,0.17400000000000374,30.464646464646464,0.0,0.9390243902439024,0.25961538461538464,0.0,0.0,0.0,0.0,1.0
2001:a61:1136::/48,113,24030.893100477704,577.0,17.0,577.0,24030.893100477704,520.3999999999999,39.8,135.97345132743362,116.88247550249969,54.39999999999969,0.0,31.079999999999682,0.38799999999999385,5.650505050505052,113,24030.893100477704,577.0,17.0,577.0,24030.893100477704,520.3999999999999,39.8,135.97345132743362,116.88247550249969,54.39999999999969,0.0,31.079999999999682,0.38799999999999385,5.650505050505052,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
