subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2600:1700:ccd0::/48,267,9143.80325155354,1370.0,6.0,1370.0,9143.80325155354,115.0,27.0,75.5692883895131,11018.018833996653,1041.9000000000067,0.0,3.143999999999986,0.33400000000000457,13.747676767676767,1,,,,,,,,,,,,,,,,,1.0,,,,,
2a02:1210:2c31::/48,317,17643.57081869657,529.0,5.0,529.0,17643.57081869657,439.2,32.0,135.98738170347002,58.12358281807976,45.43999999999971,0.0,20.268000000000058,0.9880000000000023,5.261010101010101,218,21895.41774682266,517.0,1.0,517.0,21895.41774682266,447.1999999999998,24.0,155.76605504587155,34.480645362718,28.369999999999834,0.0,18.22899999999992,0.9909999999999997,5.13969696969697,0.0,0.5458715596330275,0.6246056782334385,0.0,0.0,0.0,0.0,1.0
2a02:1210:32e8::/48,103,187432.4405693279,3113.0,0.0,3113.0,187432.4405693279,492.59999999999997,36.9,204.92233009708738,62446.93235147484,2502.38000000001,0.0,22.126000000000072,0.707999999999997,31.4420202020202,81,230875.74058832496,3113.0,12.0,3113.0,230875.74058832496,493.0,39.0,244.01234567901236,33760.1160289765,1542.399999999986,0.0,24.159999999999897,0.7999999999999972,31.34747474747475,0.0,0.9506172839506173,0.2524271844660194,0.0,0.0,0.0,0.0,1.0
2a01:cb1d:796::/48,210,21251.916575963718,505.0,6.0,505.0,21251.916575963718,455.65,28.349999999999998,151.8904761904762,44.48197373737375,36.14000000000016,0.0,19.71900000000004,1.0,5.0,210,21251.916575963718,505.0,6.0,505.0,21251.916575963718,455.65,28.349999999999998,151.8904761904762,44.48197373737375,36.14000000000016,0.0,19.71900000000004,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb1c:8102::/48,151,20588.754616025602,517.0,13.0,517.0,20588.754616025617,454.0,40.5,162.60927152317882,54.13314967860418,39.5,0.0,19.64999999999999,0.5,5.075757575757576,151,20588.754616025602,517.0,13.0,517.0,20588.754616025617,454.0,40.5,162.60927152317882,54.13314967860418,39.5,0.0,19.64999999999999,0.5,5.075757575757576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb1d:c2::/48,194,20862.74452651716,528.0,4.0,528.0,20862.744526517155,462.79999999999995,40.95,153.39690721649484,48.70645725946319,34.75999999999982,0.0,19.777999999999725,1.0,5.264747474747475,194,20862.74452651716,528.0,4.0,528.0,20862.744526517155,462.79999999999995,40.95,153.39690721649484,48.70645725946319,34.75999999999982,0.0,19.777999999999725,1.0,5.264747474747475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2001:569:7fdd::/48,118,91902.79467107155,3037.0,3.0,3037.0,91902.79467107155,452.39999999999986,37.0,176.27966101694915,63142.3923302112,2517.02,0.0,22.67999999999998,0.5200000000000102,30.6430303030303,117,92575.7120315582,3037.0,3.0,3037.0,92575.71203155819,453.1999999999998,37.0,177.25641025641025,63138.69012288541,2516.96,0.0,23.172000000000157,0.6440000000000003,30.643232323232326,0.0,1.0,0.00847457627118644,0.0,0.0,0.0,0.0,1.0
2a02:1210:30f3::/48,46,25574.19470699432,515.0,4.0,515.0,25574.19470699432,491.5,25.75,168.6086956521739,51.0581731455973,35.099999999999625,0.0,17.999999999999858,0.6350000000000022,5.183838383838384,45,25998.546172839506,515.0,4.0,515.0,25998.546172839513,492.19999999999993,25.0,170.37777777777777,50.97835371900823,34.320000000000334,0.0,18.18000000000014,0.799999999999995,5.1842424242424245,0.0,0.9777777777777777,0.043478260869565216,0.0,0.0,0.0,0.0,1.0
2a01:cb15:ed::/48,189,65571.8164665043,3039.0,3.0,3039.0,65571.8164665043,448.59999999999997,31.0,169.32275132275132,64168.08247452299,2537.16,0.0,19.97199999999992,0.9200000000000017,30.63111111111111,189,65571.8164665043,3039.0,3.0,3039.0,65571.8164665043,448.59999999999997,31.0,169.32275132275132,64168.08247452299,2537.16,0.0,19.97199999999992,0.9200000000000017,30.63111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:1958::/48,24,15999.151041666666,483.0,2.0,483.0,15999.151041666666,355.49999999999983,14.7,134.625,34.91765456586067,26.910000000000082,0.45999999999999375,16.476000000000045,0.8509999999999989,4.874141414141414,24,15999.151041666666,483.0,2.0,483.0,15999.151041666666,355.49999999999983,14.7,134.625,34.91765456586067,26.910000000000082,0.45999999999999375,16.476000000000045,0.8509999999999989,4.874141414141414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:1902::/48,103,26285.333396173064,510.0,2.0,510.0,26285.333396173068,477.79999999999995,35.3,166.5631067961165,33.6133605958575,25.539999999999907,0.0,17.953999999999912,1.0200000000000102,5.1301010101010105,103,26285.333396173064,510.0,2.0,510.0,26285.333396173068,477.79999999999995,35.3,166.5631067961165,33.6133605958575,25.539999999999907,0.0,17.953999999999912,1.0200000000000102,5.1301010101010105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2001:a61:30f4::/48,181,22039.672049082747,544.0,0.0,544.0,22039.672049082747,495.0,70.0,202.55801104972375,34.38355269870414,30.800000000000068,0.0,17.959999999999813,1.3999999999999972,5.462626262626263,181,22039.672049082747,544.0,0.0,544.0,22039.672049082747,495.0,70.0,202.55801104972375,34.38355269870414,30.800000000000068,0.0,17.959999999999813,1.3999999999999972,5.462626262626263,0.011049723756906077,0.988950276243094,0.0,0.0,0.0,0.0,0.0,0.988950276243094
2a04:9546:1990::/48,83,18474.22035128466,506.0,0.0,506.0,18474.220351284668,439.5999999999999,22.0,118.18072289156626,138.49382805836296,100.04000000000093,0.0,25.501999999999576,0.3740000000000016,5.111111111111111,83,18474.22035128466,506.0,0.0,506.0,18474.220351284668,439.5999999999999,22.0,118.18072289156626,138.49382805836296,100.04000000000093,0.0,25.501999999999576,0.3740000000000016,5.111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb04:b3b::/48,68,15514.39705882353,505.0,2.0,505.0,15514.39705882353,432.09999999999985,24.349999999999994,125.5,83.2205663503722,61.879999999999995,0.0,21.209000000000024,0.6699999999999875,5.087474747474747,68,15514.39705882353,505.0,2.0,505.0,15514.39705882353,432.09999999999985,24.349999999999994,125.5,83.2205663503722,61.879999999999995,0.0,21.209000000000024,0.6699999999999875,5.087474747474747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a02:1210:8a08::/48,287,46154.07876749749,3088.0,0.0,3088.0,46154.07876749749,438.5999999999999,30.799999999999997,133.06968641114983,66443.97708356292,2581.44,0.0,24.865999999999868,0.8940000000000026,31.181818181818183,187,65986.46812891416,3087.0,6.0,3087.0,65986.46812891419,458.7,35.9,170.72192513368984,66128.11153204775,2575.9,0.0,20.70200000000035,0.9740000000000009,31.095151515151517,0.0,0.5240641711229946,0.6585365853658537,0.0,0.0,0.0,0.0,1.0
2a04:9546:1992::/48,83,19206.29670489185,495.0,1.0,495.0,19206.29670489185,437.7,27.599999999999998,133.72289156626505,72.13958796041231,65.34000000000026,0.0,18.4519999999999,0.7179999999999999,4.9917171717171716,83,19206.29670489185,495.0,1.0,495.0,19206.29670489185,437.7,27.599999999999998,133.72289156626505,72.13958796041231,65.34000000000026,0.0,18.4519999999999,0.7179999999999999,4.9917171717171716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2001:a61:1122::/48,131,21681.9145737428,520.0,9.0,520.0,21681.914573742808,465.5,57.0,181.9618320610687,45.54390776451377,45.89999999999998,0.0,16.539999999999825,1.2699999999999987,5.152525252525252,131,21681.9145737428,520.0,9.0,520.0,21681.914573742808,465.5,57.0,181.9618320610687,45.54390776451377,45.89999999999998,0.0,16.539999999999825,1.2699999999999987,5.152525252525252,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a00:98c7:1480::/48,128,992.2821655273438,167.0,4.0,167.0,992.2821655273438,108.64999999999999,27.0,59.8046875,22.030102009998963,46.88999999999997,0.0,3.38,0.31399999999999934,1.641010101010101,0,,,,,,,,,,,,,,,,,1.0,,,,,
