subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2001:d08:2900::/48,5585,571036519.9339335,1641859.0,7.0,1641859.0,571036519.9339335,4143.800000000005,217.0,2327.4759176365264,26164968413.904064,1617826.6,7.0,501.7959999999886,10.952000000000044,16584.070707070707,5583,571239980.5149076,1641859.0,7.0,1641859.0,571239980.5149076,4146.3999999999905,217.0,2328.0859752821066,26164942432.656693,1617825.8,7.0,501.15800000000536,11.0,16584.070707070707,0.1370231058570661,0.0,0.00035810205908683976,0.0,0.0,0.0,0.8629768941429339,0.0
2402:1980:254::/48,15383,32517587.30224221,407497.0,4.0,407497.0,32517587.30224221,1809.8999999999996,295.0,1038.8167457583047,1629192653.693548,403687.22,9.0,35.41000000000001,12.0,4115.345252525252,234,5921912.910092047,30852.0,42.0,30852.0,5921912.910092047,3586.7,279.95,1452.0128205128206,4780220.33389412,21660.190000000017,0.9400000000000546,443.15899999999993,8.332999999999947,310.9037373737374,0.6623931623931624,0.0,0.9851784437365924,0.0,0.0,0.0,0.31196581196581197,0.0
2400:9800:351::/48,8205,28608537.650056094,212329.0,4.0,212329.0,28608537.650056094,3466.7999999999993,157.0,1093.378793418647,408726282.8155181,202203.6,4.0,456.32400000000314,6.0,2144.3030303030305,8205,28608537.650056094,212329.0,4.0,212329.0,28608537.650056094,3466.7999999999993,157.0,1093.378793418647,408726282.8155181,202203.6,4.0,456.32400000000314,6.0,2144.3030303030305,0.13906154783668495,0.0002437538086532602,0.0,0.0,0.0,0.725533211456429,0.1351614868982328,0.0017497812773403325
2001:d08:1b80::/48,3193,75077527.83245577,368547.0,8.0,368547.0,75077527.83245577,3434.0,201.0,1474.2896962104603,1269090334.2159743,356322.96,7.919999999999845,166.61599999999862,10.0,3722.3535353535353,3193,75077527.83245577,368547.0,8.0,368547.0,75077527.83245577,3434.0,201.0,1474.2896962104603,1269090334.2159743,356322.96,7.919999999999845,166.61599999999862,10.0,3722.3535353535353,0.12151581584716567,0.0,0.0,0.0,0.0,0.0,0.8784841841528344,0.0
2400:9800:650::/48,4889,51817982.18472788,268136.0,0.0,268136.0,51817982.18472788,3442.0,142.0,1171.110656575987,660802464.9536768,257083.24000000002,5.0,140.76799999999804,6.0,2708.2020202020203,4889,51817982.18472788,268136.0,0.0,268136.0,51817982.18472788,3442.0,142.0,1171.110656575987,660802464.9536768,257083.24000000002,5.0,140.76799999999804,6.0,2708.2020202020203,0.08529351605645326,0.00020454080589077522,0.0,0.0,0.0,0.7666189404786254,0.14788300265903048,0.0023923444976076554
2400:9800:a02::/48,14749,13150399.7554246,127280.0,1.0,127280.0,13150399.7554246,3356.199999999997,168.0,1069.4166384161638,143573887.53238273,119860.48,6.0,198.7999999999996,8.0,1285.3030303030303,14748,13151245.89799306,127280.0,1.0,127280.0,13151245.89799306,3356.2999999999993,168.0,1069.4721996202875,143573859.94560295,119860.47,6.0,198.8749999999996,8.0,1285.3030303030303,0.07377271494439924,6.780580417683754e-05,6.780120686148214e-05,0.0,6.780580417683754e-05,0.0,0.9260916734472471,0.0009182736455463728
2803:c800:40a7::/48,21447,1345189197.4972742,2603386.0,8.0,2603386.0,1345189197.4972742,3385.0,195.0,2755.283862544878,66368009207.62349,2576537.58,7.0,537.8559999999862,9.0,26296.298383838384,21447,1345189197.4972742,2603386.0,8.0,2603386.0,1345189197.4972742,3385.0,195.0,2755.283862544878,66368009207.62349,2576537.58,7.0,537.8559999999862,9.0,26296.298383838384,0.05100946519326712,0.0,0.0,0.0,0.0006993985172751433,0.029374737725556023,0.9189163985639017,0.0
2400:9800:2f1::/48,3601,34705088.21871897,139600.0,9.0,139600.0,34705088.21871897,3464.0,158.0,1174.8683698972507,169924773.130905,130371.0,4.0,416.4,6.0,1409.79797979798,3600,34714394.83737008,139600.0,9.0,139600.0,34714394.83737008,3464.0499999999997,158.0,1175.1727777777778,169894757.80213544,130359.21000000028,4.0,417.79400000000163,6.0,1409.7980808080808,0.07388888888888889,0.0,0.00027770063871146905,0.0,0.0005555555555555556,0.7441666666666666,0.18138888888888888,0.0
2a02:b127:11::/48,20210,117028496.86402239,1010297.0,9.0,1010297.0,117028496.86402239,3699.5499999999993,211.0,1218.409203364671,10065767269.667282,1003399.36,7.0,206.6219999999956,9.0,10204.494949494949,20197,117103173.23016663,1010297.0,9.0,1010297.0,117103173.23016663,3700.0,211.0,1219.0523345051245,10065760080.879017,1003399.0,7.0,205.8800000000002,8.572000000000116,10204.494949494949,0.15442887557558052,0.002129029063722335,0.0006432459178624443,0.0,0.00029707382284497696,0.0,0.8431450215378522,0.01359898798228969
2a02:b025:15::/48,15673,18171072.348657478,214084.0,13.0,214084.0,18171072.348657474,3575.0,218.0,971.3558348752632,435991644.28891516,208859.71999999997,7.0,233.15199999999913,8.0,2161.861414141414,15660,18185753.952393286,214084.0,13.0,214084.0,18185753.952393286,3575.0,218.0,971.9076628352491,435977378.47626424,208856.34,6.829999999999927,234.13199999999736,8.0,2161.862727272727,0.1441890166028097,0.0009578544061302681,0.000829451923690423,0.0,0.00044699872286079183,0.0,0.8544061302681992,0.006599208095028597
